phase,endpoint,first,second,metric,direction,pairs,task_groups,difference,ci95_low,ci95_high,resamples,analysis_seed
recovery_assessment,outcome_label,agent_s2_base,agent_s2_trained,balanced_accuracy,second_minus_first,4,4,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,agent_s2_base,agent_s2_trained,macro_f1,second_minus_first,4,4,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,agent_s2_base,agent_s2_trained,accuracy,second_minus_first,4,4,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,webvoyager_base,webvoyager_trained,mcc,second_minus_first,9,9,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,webvoyager_base,webvoyager_trained,balanced_accuracy,second_minus_first,9,9,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,webvoyager_base,webvoyager_trained,macro_f1,second_minus_first,9,9,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,webvoyager_base,webvoyager_trained,accuracy,second_minus_first,9,9,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,browser_use_base,internvl_heads,mcc,second_minus_first,2,2,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,browser_use_base,internvl_heads,balanced_accuracy,second_minus_first,2,2,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,browser_use_base,internvl_heads,macro_f1,second_minus_first,2,2,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,browser_use_base,internvl_heads,accuracy,second_minus_first,2,2,0.0,0.0,0.0,10000,20250831
recovery_assessment,outcome_label,agent_s2_base,internvl_heads,mcc,second_minus_first,12,12,0.12799259492993897,-0.3824555320336759,0.7745966692414834,10000,20250831
recovery_assessment,outcome_label,agent_s2_base,internvl_heads,balanced_accuracy,second_minus_first,12,12,0.12857142857142856,-0.13636363636363635,0.40909090909090917,10000,20250831
recovery_assessment,outcome_label,agent_s2_base,internvl_heads,macro_f1,second_minus_first,12,12,0.1310924369747899,-0.1835526315789473,0.4991596638655461,10000,20250831
recovery_assessment,outcome_label,agent_s2_base,internvl_heads,accuracy,second_minus_first,12,12,0.08333333333333337,-0.16666666666666674,0.33333333333333337,10000,20250831
recovery_assessment,outcome_label,webvoyager_base,internvl_heads,mcc,second_minus_first,9,9,1.0,0.0,1.0,10000,20250831
recovery_assessment,outcome_label,webvoyager_base,internvl_heads,balanced_accuracy,second_minus_first,9,9,0.5,0.5,1.0,10000,20250831
recovery_assessment,outcome_label,webvoyager_base,internvl_heads,macro_f1,second_minus_first,9,9,0.8181818181818181,0.5,0.9,10000,20250831
recovery_assessment,outcome_label,webvoyager_base,internvl_heads,accuracy,second_minus_first,9,9,0.7777777777777778,0.4444444444444444,1.0,10000,20250831
recovery_assessment,outcome_label,browser_use_trained,internvl_heads,mcc,second_minus_first,21,21,0.5430598689166878,0.1443865090076833,0.9990033066031,10000,20250831
recovery_assessment,outcome_label,browser_use_trained,internvl_heads,balanced_accuracy,second_minus_first,21,21,0.2666666666666666,0.05882352941176472,0.5187620192307691,10000,20250831
recovery_assessment,outcome_label,browser_use_trained,internvl_heads,macro_f1,second_minus_first,21,21,0.2732537577365164,0.08373137333083153,0.5013262599469496,10000,20250831
recovery_assessment,outcome_label,browser_use_trained,internvl_heads,accuracy,second_minus_first,21,21,0.23809523809523814,0.09523809523809523,0.4285714285714286,10000,20250831
recovery_assessment,outcome_label,agent_s2_trained,internvl_heads,mcc,second_minus_first,17,17,0.7680507559297918,0.35013679397241615,1.2092717050311756,10000,20250831
recovery_assessment,outcome_label,agent_s2_trained,internvl_heads,balanced_accuracy,second_minus_first,17,17,0.35,0.1428571428571428,0.6142857142857143,10000,20250831
recovery_assessment,outcome_label,agent_s2_trained,internvl_heads,macro_f1,second_minus_first,17,17,0.41015873015873017,0.17647058823529416,0.656140350877193,10000,20250831
recovery_assessment,outcome_label,agent_s2_trained,internvl_heads,accuracy,second_minus_first,17,17,0.4117647058823529,0.17647058823529416,0.6470588235294117,10000,20250831
recovery_assessment,outcome_label,webvoyager_trained,internvl_heads,mcc,second_minus_first,49,48,0.8781314407318439,0.7284295181613646,1.0,10000,20250831
recovery_assessment,outcome_label,webvoyager_trained,internvl_heads,balanced_accuracy,second_minus_first,49,48,0.43833333333333324,0.3619516594516594,0.5,10000,20250831
recovery_assessment,outcome_label,webvoyager_trained,internvl_heads,macro_f1,second_minus_first,49,48,0.6099062183894252,0.5060245545415036,0.7043968635035904,10000,20250831
recovery_assessment,outcome_label,webvoyager_trained,internvl_heads,accuracy,second_minus_first,49,48,0.44897959183673475,0.2857142857142857,0.607843137254902,10000,20250831
